URN:CornellLabOfOrnithology:EBIRD:OBS133136398	2014-07-19 20:45:50	541	species	Bufflehead	Bucephala albeola			X				United States	US	New York	US-NY	Nassau	US-NY-059		30			Oceanside Marine Nature Study Area	L213321	H	40.6233726	-73.6242225	2008-01-04	09:00:00	obsr136550	Michael	Farina	S9352779	eBird - Traveling Count	EBIRD	480	1.609	21.0437	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS147213652	2015-03-08 18:13:04	541	species	Bufflehead	Bucephala albeola			22				United States	US	New York	US-NY	Westchester	US-NY-119	US-NY_2791	30			Rockefeller SP Preserve	L299350	H	41.10804	-73.8378825	2012-04-05	11:40:00	obsr36966	Evan	Edelbaum	S10366083	eBird - Traveling Count	EBIRD	130	6.437		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS102066378	2012-10-08 16:18:57	541	species	Bufflehead	Bucephala albeola			3				United States	US	New York	US-NY	Westchester	US-NY-119	US-NY_1759	30			Marshlands Conservancy	L829718	P	40.9526818	-73.7021801	2010-11-25	11:30:00	obsr203972	Hank	Birdsall	S7161987	eBird - Traveling Count	EBIRD	60	1.609		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS128481534	2011-10-19 18:51:45	541	species	Bufflehead	Bucephala albeola			1				United States	US	New York	US-NY	Rockland	US-NY-087		30			Rte 87 N of Tappan Zee	L1295312	P	41.1007709	-73.9654719	2011-01-18	08:30:00	obsr283056	Matthew	Zeitler	S8982428	eBird - Casual Observation	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS66194830	2013-05-21 15:37:46	541	species	Bufflehead	Bucephala albeola			2				United States	US	New York	US-NY	Genesee	US-NY-037	US-NY_1729	13	USFWS_219		Iroquois NWR--Cayuga Overlook	L152119	H	43.1189663	-78.4430695	2009-03-14	10:00:00	obsr50402	Joseph	Mitchell	S4749262	eBird - Stationary Count	EBIRD	20				1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS109436498	2013-01-11 16:50:49	541	species	Bufflehead	Bucephala albeola			109				United States	US	New York	US-NY	Suffolk	US-NY-103					Founders Landing	L996517	H	41.0602378	-72.4136674	2011-02-20	14:14:00	obsr19954	John	Sepenoski	S7672515	eBird - Stationary Count	EBIRD	25			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS146110706	2016-10-29 18:18:43	541	species	Bufflehead	Bucephala albeola			1				United States	US	New York	US-NY	Madison	US-NY-053	US-NY_2803	13			Great Swamp Con. Overlook	L235008	P	43.1198245	-75.7958908	2012-03-28	16:15:00	obsr24431	Jerry	Case	S10287405	eBird - Stationary Count	EBIRD	45			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS139273840	2017-02-15 19:56:49	541	species	Bufflehead	Bucephala albeola			4				United States	US	New York	US-NY	Tompkins	US-NY-109		13			Hog Hole (Allan H. Treman State Marine Park)	L99382	H	42.4618954	-76.5190244	2012-02-05	11:38:00	obsr107181	Eric	LoPresti	S9832144	eBird - Traveling Count	EBIRD	37	.531		5	1	G355922	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS77563805	2017-03-05 10:54:00	4138	species	Red Phalarope	Phalaropus fulicarius			1				United States	US	New York	US-NY	St. Lawrence	US-NY-089	US-NY_802				Coles Creek SP--Campground	L800741	H	44.8913831	-75.1479542	2009-11-01	08:20:00	obsr60015	Jeffrey	Bolsinger	S5522597	eBird - Stationary Count	EBIRD	50			1	1		0	1	1		Small movement of Long-tailed Ducks,Bufflehead, and Common Goldeneye flying upstream (SW).  I''ve noted similar movement of birds along the St. Lawrence River during migration when the winds were right (downstream in spring, upstream in fall), but these movements have always been modest.	Flying upstream.  I first saw it in my binoculars and noted the relatively long wings and the erratic and twisty flight.  I quickly got it in my scope and saw it best from behind as it flew away from me.  The wing bars were fairly bold and broadest on the inner wing; there was no black on the leading edge of the wing, as a Sanderling would show.  The back was a farily uniform pale gray without any stripes, braces, or other noticeable markings.  I ruled out Sanderling based on the wing pattern, and the flight also was more typical of phalaropes.  I ruled out Red-necked Phalarope based on the relatively uniform pale gray of the back.	
URN:CornellLabOfOrnithology:EBIRD:OBS66898484	2013-12-12 16:26:21	541	species	Bufflehead	Bucephala albeola			4				United States	US	New York	US-NY	Erie	US-NY-029		13			Derby	L681508	P	42.6793436	-78.9777088	1963-11-02		obsr178425	Winston William	Brockner	S4790280	eBird - Casual Observation	EBIRD					1		0	1	0				
