"URN:CornellLabOfOrnithology:EBIRD:OBS79168328	2013-06-18 09:26:17	2	30	29 N Rigaud Rd	L2228766	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS75015728	2013-10-31 12:23:29	2	13	32 Highland Ave	L2227347	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS83835716	2014-01-22 19:26:57	2	US-NY_800	13	Durand-Eastman Park--Zoo Rd.	L139792"
"URN:CornellLabOfOrnithology:EBIRD:OBS75262079	2013-08-08 11:59:24	1	13	Meadowbrook Rd (Roch.)	L712115	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS98046418	2014-02-13 15:54:34	1	13	** Monkey Run Road	L784698	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS74936376	2014-07-29 14:28:24	1	13	Transect 177	L717120	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS79810422	2012-10-19 10:17:04	12	US-NY_2790	30	Croton Point Park	L197982"
"URN:CornellLabOfOrnithology:EBIRD:OBS77019506	2014-12-27 09:04:59	X	30	Dreier-Offerman Park	L351189	H"
"URN:CornellLabOfOrnithology:EBIRD:OBS83272828	2010-02-09 11:58:07	1	30	My Backyard	L789266	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS74841274	2012-11-10 13:26:09	1	13	Nate's Patch--Bluegrass to Hanshaw to Freese	L1006570	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS74816306	2012-09-06 10:49:28	1	13	Cornell Research Ponds Unit I (restricted access)	L758796	H"
"URN:CornellLabOfOrnithology:EBIRD:OBS76536136	2017-02-01 09:47:05	1	13	Consaul Rd.	 Colonie (yard list)	L2228650"
"URN:CornellLabOfOrnithology:EBIRD:OBS65376864	2013-08-12 14:07:34	X	13	North Tonawanda - Home	L663618	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS86717696	2014-02-02 08:56:05	2	13	120 Campfire Rd N	L659674	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS108272238	2013-01-11 14:31:30	1	30	Big Reed Path Feeders	L1092140	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS115539426	2013-10-31 12:38:31	1	30	Rosie's Place-243 Beach 135th Street	L869966	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS86939481	2014-02-01 12:21:16	3	13	Whitestown	L210157	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS83934670	2013-11-09 00:03:41	2	US-NY_2790	30	Croton Point Park	L509108"
"URN:CornellLabOfOrnithology:EBIRD:OBS103898522	2013-08-08 11:21:26	1	13	32 Highland Ave	L2227347	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS99551745	2013-08-08 11:53:54	1	US-NY_1723	13	My Yard (Greece)	L588686"
"URN:CornellLabOfOrnithology:EBIRD:OBS102047478	2015-05-07 17:05:10	1	28	Boyer Creek Farm Pond Trail	L122741	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS97670787	2016-07-31 22:43:21	1	US-NY_2785	30	Chestnut Ridge Hawk Watch	L769361"
"URN:CornellLabOfOrnithology:EBIRD:OBS133183708	2016-02-22 18:29:53	X	30	Oceanside Marine Nature Study Area	L213321	H"
"URN:CornellLabOfOrnithology:EBIRD:OBS81986337	2014-03-03 20:31:10	1	US-NY_1723	Braddock Bay--West Spit	L293051	H"
"URN:CornellLabOfOrnithology:EBIRD:OBS101603101	2017-01-19 18:15:55	1	13	Hall Farmhouse & Yards	L614478	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS97918208	2013-12-11 15:52:16	1	13	Hall Farmhouse & Yards	L614478	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS97918213	2013-12-11 15:52:16	1	13	Hall Farmhouse & Yards	L614478	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS97918214	2013-12-11 15:52:16	2	13	Hall Farmhouse & Yards	L614478	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS97918210	2013-12-11 15:52:16	5	13	Hall Farmhouse & Yards	L614478	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS97918215	2013-12-11 15:52:16	2	13	Hall Farmhouse & Yards	L614478	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS82597423	2016-04-01 16:42:44	2	30	Clove Lakes Park	L300517	H"
"URN:CornellLabOfOrnithology:EBIRD:OBS115915820	2011-04-21 22:05:20	1	13	Sapsucker Woods Road (Sanctuary)	L1011608	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS96449047	2013-12-11 15:52:15	2	13	Hall Farmhouse & Yards	L614478	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS81324193	2015-05-08 13:51:52	1	28	Boyer Creek Farm hawk watch	L123521	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS75122113	2012-10-10 12:06:44	1	30	Riverside Park	L547873	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS96449045	2013-12-11 15:52:15	2	13	Hall Farmhouse & Yards	L614478	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS96449054	2013-12-11 15:52:15	4	13	Hall Farmhouse & Yards	L614478	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS102306598	2015-03-14 15:47:01	1	US-NY_862	30	Prospect Park	L109516"
"URN:CornellLabOfOrnithology:EBIRD:OBS116363508	2013-08-08 11:59:25	2	13	Meadowbrook Rd (Roch.)	L712115	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS108264080	2013-12-09 17:14:08	2	13	Skaneateles	 1959 Weeks Road	L1048687"
"URN:CornellLabOfOrnithology:EBIRD:OBS96449042	2013-12-11 15:52:15	2	13	Hall Farmhouse & Yards	L614478	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS96449043	2013-12-11 15:52:15	1	13	Hall Farmhouse & Yards	L614478	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS102114280	2014-10-27 09:54:22	3	30	Wagner College	L290964	H"
"URN:CornellLabOfOrnithology:EBIRD:OBS95794803	2013-12-11 15:37:12	1	28	Chickadee Hill Wildlife Sanctuary	L683999	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS96449048	2013-12-11 15:52:15	1	13	Hall Farmhouse & Yards	L614478	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS96449057	2013-12-11 15:52:15	1	13	Hall Farmhouse & Yards	L614478	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS103489191	2013-10-31 12:34:13	7	13	Railroad Bed Long Pond to Manitou Rds	L1044118	P"
